Title,Artist,Gallery,Unique ID,a. Moved,b. Fascinated,c. Funny,d. Surprised,e. Indifferent,f. Calm,g. Unsettling,h. Beautiful
Composition with Boats,Stuart Davis,1,1005,,,,,,,,
Untitled,Janet Sobel,1,1014,,,,,,,,
Still-life Synchromy with Nude in Yellow,Morgan Russell,1,1013,,,,,,,,
Untitled,George Copeland Ault,1,1001,,,,,,,,
Morning News,Francis Luis Mora,1,1010,,,,,,,,
Mukie,Robert Henri,1,1009,,,,,,,,
Formation I,Arthur Garfield Dove,1,1006,,,,,,,,
Pool in the Mountains,Milton Avery,1,1002,,,,,,,,
"Late Afternoon, Giverny ",Guy Orlando Rose,1,1012,,,,,,,,
The Edge of the Forest,Theodore Robinson,1,1011,,,,,,,,
Junior Camp,Daniel Garber,1,1007,,,,,,,,
Portrait in Grey and Black,Eduard Jean Steichen,2,2012,,,,,,,,
Elizabeth Crowell with a Dog,Thomas Easkins,2,2006,,,,,,,,
"Blue, White and Gold",Emil J. Carlsen,2,2019,,,,,,,,
"Portrait of Colonel James Hervey Birch, Jr.",George Caleb Bingham,2,2002,,,,,,,,
Portrait of Mrs. William Crane,Sarah Miriam Peale,2,2011,,,,,,,,
"Farm Landscape, Cattle in Pasture--Sunset Nantucket",George Inness,2,2008,,,,,,,,
Mr. Paff,Henry Inman,2,2007,,,,,,,,
Still-life,Emil J. Carlsen,2,2003,,,,,,,,
"Kilauea Caldera, Sandwich Islands",Jules Tavernier,2,2013,,,,,,,,
Indian Village,Thomas Moran,2,2010,,,,,,,,
Woman Seated,Hans Hofmann,3,3009,,,,,,,,
Sunday Afternoon,Hughie Lee-Smith,3,3005,,,,,,,,
After Many Days,Thomas Hart Benton,3,3003,,,,,,,,
Three Pigs and a Mountain,George Wesley Bellows,3,3002,,,,,,,,
Still-life with Peaches,Raphaelle Peale,3,3007,,,,,,,,
Still-life,José Agustín Arrieta,3,3001,,,,,,,,
The White Flower,O'Keefe,100,10001,,,,,,,,
Southern California Landscape,Braun,100,10002,,,,,,,,
Afternoon Stroll,Chase,100,10003,,,,,,,,
San Felipe Valley,Reiffel,100,10004,,,,,,,,
Rock ledge in Autumn,Braun,100,10007,,,,,,,,
Game of Croquet,Fries,100,10008,,,,,,,,
Eve of Saint John,Hurd,100,10005,,,,,,,,
Sierra Lake,Payne,100,10009,,,,,,,,
Torrey Pines,Fechin,100,10010,,,,,,,,
Madonna and Child with Infant John the Baptist,Fransesco Vecellio,16,1624,,,,,,,,
Holy Father with Saint Anne,Vincenzo Catena (Vincenzo di Biagio),16,1608,,,,,,,,
"The Holy Family with Saints Francis, Anne ,and John the Baptist",Peter Paul Reubens,16,1620,,,,,,,,
Flower Garland with the Holy Family,Daniel Seghers,16,1621,,,,,,,,
The Arrest of Christ,Hieronymus Bosch,16,1606,,,,,,,,
The Vision of Saint Anthony of Padua,Giovanni Battista Pittoni,16,1617,,,,,,,,
Susanna and the Elders,de Ribera,16,1628,,,,,,,,
Joseph Sold by His Brothers,Francesco Maffei,16,1612,,,,,,,,
The Penitent Magdalene,Giulio Cesare Procaccini,16,1618,,,,,,,,
Mystical Marriage of Saint Catherine,Master of Frankfurt,16,1613,,,,,,,,
Saint Jerome in the Wilderness, follower of Pietro Perugino,16,1616,,,,,,,,
Madonna and Child with the Young Saint John the Baptist and Angels,Giuliano Burgiardini,16,1607,,,,,,,,
"Male Saint, perhaps Saint Mark",Bartolommeo Vivarini,16,1625,,,,,,,,
Saint Peter,The Astorga Master,16,1601,,,,,,,,
The Crucifixion,Martín Bernat,16,1604,,,,,,,,
The Coronation of the Virgin,Luca Signorelli,16,1622,,,,,,,,
Madonna and Child,Carlo Crivelli,16,1609,,,,,,,,
Madonna of the Roses,Pseudo Pier Francesco Fiorentino,16,1619,,,,,,,,
Madonna and Child with Angels,Giovanni di Paolo,16,1610,,,,,,,,
David with Head of Goliath,Antonio de Bellis,16,1603,,,,,,,,
Saint Nicholas of Bari,Giovanni Bonsi,16,1605,,,,,,,,
The Seine Valley at Mézy,Berthe Morisot,19,1908,,,,,,,,
The Masked Ball at the Elysée Montmartre,Henri de Toulouse-Lautrec,19,1909,,,,,,,,
Notre Dame,Maximilien Luce,19,1906,,,,,,,,
Tea at Madame Vuillard’s,Édouard Vuillard,19,1910,,,,,,,,
The Corn-poppies,Georges Braque,19,1903,,,,,,,,
By the Seashore,Sorolla y Bastida,200,20001,,,,,,,,
Maria at La Granja,Sorolla y Bastida,200,20002,,,,,,,,
The Molo...,Bellotto,200,20006,,,,,,,,
Seine in Parin,Dufy,200,20003,,,,,,,,